+---------+-------+------------+--------------+----------------+--------------+-------------+-----------------+------------+--------------+------------------+---------------+----------+----------------+------------------+
|   LAYER | EPOCH | DATE       | VAULTNEWVEST | VAULTTOTALVEST | VAULTPCTVEST | VAULTTOTAL  | SUBSIDYPERLAYER | SUBSIDYNEW | SUBSIDYTOTAL | CIRCULATINGTOTAL | ISSUANCETOTAL | PCTVAULT | PCTCIRCULATING | PCTFINALISSUANCE |
+---------+-------+------------+--------------+----------------+--------------+-------------+-----------------+------------+--------------+------------------+---------------+----------+----------------+------------------+
|       0 |     0 | 2023-08-11 |            0 |              0 |        0.00% | 150,000,000 |             477 |        477 |          477 |              477 |   150,000,477 |  100.00% |          0.00% |            6.25% |
|    4032 |     1 | 2023-08-25 |            0 |              0 |        0.00% | 150,000,000 |             477 |  1,924,933 |    1,925,410 |        1,925,410 |   151,925,410 |   98.73% |          1.27% |            6.33% |
|    8064 |     2 | 2023-09-08 |            0 |              0 |        0.00% | 150,000,000 |             476 |  1,923,286 |    3,848,697 |        3,848,697 |   153,848,697 |   97.50% |          2.50% |            6.41% |
|   12096 |     3 | 2023-09-22 |            0 |              0 |        0.00% | 150,000,000 |             476 |  1,921,641 |    5,770,338 |        5,770,338 |   155,770,338 |   96.30% |          3.70% |            6.49% |
|   16128 |     4 | 2023-10-06 |            0 |              0 |        0.00% | 150,000,000 |             475 |  1,919,997 |    7,690,335 |        7,690,335 |   157,690,335 |   95.12% |          4.88% |            6.57% |
|   20160 |     5 | 2023-10-20 |            0 |              0 |        0.00% | 150,000,000 |             475 |  1,918,354 |    9,608,689 |        9,608,689 |   159,608,689 |   93.98% |          6.02% |            6.65% |
|   24192 |     6 | 2023-11-03 |            0 |              0 |        0.00% | 150,000,000 |             475 |  1,916,713 |   11,525,403 |       11,525,403 |   161,525,403 |   92.86% |          7.14% |            6.73% |
|   28224 |     7 | 2023-11-17 |            0 |              0 |        0.00% | 150,000,000 |             474 |  1,915,073 |   13,440,476 |       13,440,476 |   163,440,476 |   91.78% |          8.22% |            6.81% |
|   32256 |     8 | 2023-12-01 |            0 |              0 |        0.00% | 150,000,000 |             474 |  1,913,435 |   15,353,911 |       15,353,911 |   165,353,911 |   90.71% |          9.29% |            6.89% |
|   36288 |     9 | 2023-12-15 |            0 |              0 |        0.00% | 150,000,000 |             473 |  1,911,798 |   17,265,709 |       17,265,709 |   167,265,709 |   89.68% |         10.32% |            6.97% |
|   40320 |    10 | 2023-12-29 |            0 |              0 |        0.00% | 150,000,000 |             473 |  1,910,162 |   19,175,871 |       19,175,871 |   169,175,871 |   88.67% |         11.33% |            7.05% |
|   44352 |    11 | 2024-01-12 |            0 |              0 |        0.00% | 150,000,000 |             473 |  1,908,528 |   21,084,400 |       21,084,400 |   171,084,400 |   87.68% |         12.32% |            7.13% |
|   48384 |    12 | 2024-01-26 |            0 |              0 |        0.00% | 150,000,000 |             472 |  1,906,895 |   22,991,295 |       22,991,295 |   172,991,295 |   86.71% |         13.29% |            7.21% |
|   52416 |    13 | 2024-02-09 |            0 |              0 |        0.00% | 150,000,000 |             472 |  1,905,264 |   24,896,559 |       24,896,559 |   174,896,559 |   85.76% |         14.24% |            7.29% |
|   56448 |    14 | 2024-02-23 |            0 |              0 |        0.00% | 150,000,000 |             471 |  1,903,634 |   26,800,193 |       26,800,193 |   176,800,193 |   84.84% |         15.16% |            7.37% |
|   60480 |    15 | 2024-03-08 |            0 |              0 |        0.00% | 150,000,000 |             471 |  1,902,005 |   28,702,199 |       28,702,199 |   178,702,199 |   83.94% |         16.06% |            7.45% |
|   64512 |    16 | 2024-03-22 |            0 |              0 |        0.00% | 150,000,000 |             471 |  1,900,378 |   30,602,577 |       30,602,577 |   180,602,577 |   83.06% |         16.94% |            7.53% |
|   68544 |    17 | 2024-04-05 |            0 |              0 |        0.00% | 150,000,000 |             470 |  1,898,752 |   32,501,329 |       32,501,329 |   182,501,329 |   82.19% |         17.81% |            7.60% |
|   72576 |    18 | 2024-04-19 |            0 |              0 |        0.00% | 150,000,000 |             470 |  1,897,127 |   34,398,457 |       34,398,457 |   184,398,457 |   81.35% |         18.65% |            7.68% |
|   76608 |    19 | 2024-05-03 |            0 |              0 |        0.00% | 150,000,000 |             469 |  1,895,504 |   36,293,962 |       36,293,962 |   186,293,962 |   80.52% |         19.48% |            7.76% |
|   80640 |    20 | 2024-05-17 |            0 |              0 |        0.00% | 150,000,000 |             469 |  1,893,883 |   38,187,845 |       38,187,845 |   188,187,845 |   79.71% |         20.29% |            7.84% |
|   84672 |    21 | 2024-05-31 |            0 |              0 |        0.00% | 150,000,000 |             469 |  1,892,262 |   40,080,108 |       40,080,108 |   190,080,108 |   78.91% |         21.09% |            7.92% |
|   88704 |    22 | 2024-06-14 |            0 |              0 |        0.00% | 150,000,000 |             468 |  1,890,644 |   41,970,753 |       41,970,753 |   191,970,753 |   78.14% |         21.86% |            8.00% |
|   92736 |    23 | 2024-06-28 |            0 |              0 |        0.00% | 150,000,000 |             468 |  1,889,026 |   43,859,779 |       43,859,779 |   193,859,779 |   77.38% |         22.62% |            8.08% |
|   96768 |    24 | 2024-07-12 |            0 |              0 |        0.00% | 150,000,000 |             467 |  1,887,410 |   45,747,190 |       45,747,190 |   195,747,190 |   76.63% |         23.37% |            8.16% |
|  100800 |    25 | 2024-07-26 |            0 |              0 |        0.00% | 150,000,000 |             467 |  1,885,795 |   47,632,985 |       47,632,985 |   197,632,985 |   75.90% |         24.10% |            8.23% |
|  104832 |    26 | 2024-08-09 |            0 |              0 |        0.00% | 150,000,000 |             467 |  1,884,182 |   49,517,168 |       49,517,168 |   199,517,168 |   75.18% |         24.82% |            8.31% |
|  108864 |    27 | 2024-08-23 |   38,835,616 |     38,835,616 |       25.89% | 150,000,000 |             466 |  1,882,570 |   51,399,738 |       90,235,355 |   201,399,738 |   74.48% |         44.80% |            8.39% |
|  112896 |    28 | 2024-09-06 |    1,438,356 |     40,273,972 |       26.85% | 150,000,000 |             466 |  1,880,959 |   53,280,698 |       93,554,671 |   203,280,698 |   73.79% |         46.02% |            8.47% |
|  116928 |    29 | 2024-09-20 |    1,438,356 |     41,712,328 |       27.81% | 150,000,000 |             465 |  1,879,350 |   55,160,049 |       96,872,378 |   205,160,049 |   73.11% |         47.22% |            8.55% |
|  120960 |    30 | 2024-10-04 |    1,438,356 |     43,150,684 |       28.77% | 150,000,000 |             465 |  1,877,742 |   57,037,792 |      100,188,477 |   207,037,792 |   72.45% |         48.39% |            8.63% |
|  124992 |    31 | 2024-10-18 |    1,438,356 |     44,589,041 |       29.73% | 150,000,000 |             465 |  1,876,136 |   58,913,928 |      103,502,969 |   208,913,928 |   71.80% |         49.54% |            8.70% |
